restaurant_id,name,area,primary_cuisine,price_min,price_max,rating,distance_min,food_score,vibe_score,value_score,quiet_score,group_score,photo_score,waiting_risk,address,food_type,review_count,lat,lng,distance_km_from_ntu_ref,walking_minutes_from_ntu_ref,reservation_available,vegetarian_friendly,is_chain,opening_hours_note,payment_note,personality_type,positive_tag_candidates,negative_tag_candidates,occasion_candidates,recommended_dish_candidates,source_url,google_redirect_url,data_source,data_status,collected_at,notes,one_sentence_summary
r012,公館食堂,Gongguan / NTU,Taiwanese,100,250,4.4,12,4.46,4.05,5,3.3,3.2,2.8,1.8,100臺北市中正區水源里羅斯福路四段52巷16弄17號,Taiwanese|Rice Meal|Casual,127,25.0142834,121.5338619,0.68,12,no,yes,no,lunch and dinner,cash,Hungry Student Saver,cheap price|comfort food|fresh clam soup|warm soup|large portion|light flavor|friendly service|quick meal|good for cold weather|student-friendly,clam freshness can be inconsistent|simple environment|limited atmosphere|not ideal for fancy dining|some vegetables can feel dry,solo meal|comfort meal|quick lunch|quick dinner|winter meal|sick day meal|soup craving,蛤蠣粥|肉片粥|蔬菜蛋花湯|什錦海鮮鍋燒意麵|蛤仔湯|大醬海鮮鍋燒麵|炒高麗菜,https://maps.app.goo.gl/N3vQSimeqDBoYTYi6,"""https://www.google.com/maps/place/%E5%85%AC%E9%A4%A8%E9%A3%9F%E5%A0%82/@25.0144023",,,,,
r013,隱家拉麵 公館店,Gongguan / NTU,Japanese,250,420,4.2,12,4.35,4.4,4,3.3,3.2,3,1.8,10090臺北市中正區水源里羅斯福路四段52巷1之1號,Japanese|Ramen,2003,25.0146655,121.5334,0.71,12,no,no,no,lunch and dinner,cash,Serious Foodie Spot,good ramen|good noodles|good chashu|friendly service|clean environment|fast serving|customizable noodles|open kitchen|large branch|good broth|ramen craving,cash only|peak queue|some broths can be average|portion slightly small|toppings cost extra|not worth long queue for everyone,solo meal|friends meal|ramen lunch|ramen dinner|quick meal|casual dinner|ramen craving,黃金雞湯拉麵|叉燒|雞腿叉燒|叉燒拼盤|濃厚海老沾麵|柚香干貝拉麵|辛味拉麵|溏心蛋,https://maps.app.goo.gl/SHejpG7fEdw5DHRM6,"""https://www.google.com/maps/place/%E9%9A%B1%E5%AE%B6%E6%8B%89%E9%BA%B5+%E5%85%AC%E9%A4%A8%E5%BA%97/@25.0146527",,,,,
r014,二本松涮涮屋 本館,Da'an,Hot Pot,500,1000,4.9,22,4.86,5,2.5,4.4,3.2,3,4,106臺北市大安區龍圖里瑞安街118號,Hot Pot|Shabu-shabu,11696,25.0296552,121.5425364,1.4,22,yes,unknown,no,lunch and dinner,cash|card|mobile payment,Date Night Pick,premium Japanese hot pot|tableside service|A5 wagyu|fresh crab|excellent service|refined plating|quiet atmosphere|good for celebration|date-friendly|birthday-friendly|kid-friendly service|luxury dining,price very high|reservation recommended|not suitable for budget meal|not ideal for quick meal|value depends on budget,date night|celebration meal|birthday meal|anniversary|premium hot pot|family celebration|self-reward meal,宮崎A5紐約客和牛|宮崎黑毛A5紐約客和牛|日本松葉蟹|蟹膏煮粥|松露山藥豆腐|鮮蝦雲吞佐魚子醬|雲丹干貝柿種魚子醬|魚子醬胡麻冷麵|萬丹紅豆鍋餅|手工蛋黃酥|銅鑼燒|巴斯克蛋糕|抹茶冰淇淋,https://maps.app.goo.gl/63STnLqstioewim46,"""https://www.google.com/maps/place/%E4%BA%8C%E6%9C%AC%E6%9D%BE%E6%B6%AE%E6%B6%AE%E5%B1%8B+%E6%9C%AC%E9%A4%A8/@25.0295543",,,,,
r015,小李子清粥小菜,Da'an,Taiwanese,100,300,3.7,13,3.93,3.55,3.9,2.5,3.2,2.8,4,106臺北市大安區龍淵里復興南路二段326號,Taiwanese|Congee|Side Dishes,6781,25.0231295,121.5432427,0.73,13,yes,yes,no,breakfast and dinner,cash,Late-night Comfort Pick,late-night congee|old-school Taiwanese food|many side dishes|comfort food|good with congee|nostalgic restaurant|student late-night meal|good after drinking|traditional flavor|sweet potato congee,price slightly high|price not transparent|small space|crowded|shared table likely|salty and oily|some dishes inconsistent|not atmosphere-focused,late-night meal|comfort meal|study meal|after-drinking meal|solo meal|small group meal|nostalgic meal,白粥|地瓜粥|五更腸旺|蚵仔|香蔥油雞|蝦仁滑蛋|菜圃蛋|招牌滷白菜|滷肉|丁香魚豆干|臭豆腐|現煎烘蛋|爌肉|糯米椒小魚乾豆乾|炒龍鬚菜,https://maps.app.goo.gl/s8v12XcDu8D7sJne6,"""https://www.google.com/maps/place/%E5%B0%8F%E6%9D%8E%E5%AD%90%E6%B8%85%E7%B2%A5%E5%B0%8F%E8%8F%9C/@25.0235921",,,,,
r016,這一鍋 台北信義殿,Da'an / Xinyi,Hot Pot,600,1000,4.6,28,4.46,4.45,2.5,2.5,4.5,4.5,4,106臺北市大安區住安里信義路四段88號2樓,Hot Pot|Group Dining,6311,25.0329859,121.5474232,1.9,28,yes,yes,yes,lunch and dinner,cash|card|mobile payment,Group Gathering Place,premium interior|Chinese-style decor|private room available|family-friendly|group-friendly|fresh meat|fresh seafood|attentive service|good soup base|many sauces|kid-friendly|late-night hot pot|hot pot base takeaway,price high|value can be controversial|not ideal for budget meal|reservation recommended|may be noisy with groups|quality expectation depends on price,family gathering|friends dinner|large group meal|birthday meal|celebration meal|late-night meal|hot pot craving|kid-friendly meal,一品酸菜鍋|頤心菌菇鍋|老湯麻辣鍋底|鴨血|豆腐|綜合丸子|有機青菜組|肉片|海鮮|豆腐皮|麻薯雪糕球,https://maps.app.goo.gl/oUHdHVcggztpyy1o6,"""https://www.google.com/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E6%AE%BF/@25.0329858",,,,,
r017,BRUN不然-信義店(捷運大安站),Da'an / Xinyi,Brunch,350,700,4.1,29,3.95,3.95,3,2.5,3.2,4.5,1.8,106臺北市大安區住安里信義路四段103號2F,Brunch|Cafe|Western,1146,25.0335569,121.5474954,1.96,29,yes,unknown,yes,"""breakfast",,,,,,,,,,,,,
r018,光司DATE 義大利麵 大安店,Da'an,Italian,300,650,4.7,29,4.51,4.9,3.8,3.3,3.2,3,1.8,106臺北市大安區大安路一段242號,Italian|Pasta|Date Restaurant,4160,25.0337289,121.5458865,1.92,29,yes,unknown,no,lunch and dinner,cash|mobile payment,Creative Pasta Student,"""Spot","creative pasta|student-friendly|large portion|good value|cozy atmosphere|solo-friendly|comfortable seating|good natural light|fast serving|unique flavor""",flavor can be inconsistent|some dishes too salty|service can be rushed|10 percent service fee concern|fried food may be cold|special flavors can be expensive,solo meal|student meal|friends dinner|casual lunch|casual dinner|pasta craving|cozy meal,煙燻培根白醬|松露燉飯|粉紅醬雞肉麵|章魚燒義大利麵|義大利麵|薯條|紅茶,https://maps.app.goo.gl/2GPhPt1GJ2AAFAv16,"""https://www.google.com/maps/place/%E5%85%89%E5%8F%B8DATE+%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5+%E5%A4%A7%E5%AE%89%E5%BA%97/@25.0337291",,,,
r019,摩斯漢堡 大安店,Da'an,Fast Food,100,250,3.2,29,3.33,3.05,4.7,4.4,3.2,3,2,106臺北市大安區德安里大安路一段237號,Fast Food|Burger|Cafe,761,25.0341573,121.5460818,1.98,29,no,partial,yes,"""breakfast",,,,,,,,,,,,,
r020,樂漢堡美式餐廳 台北大安店,Da'an,American,250,500,4.6,30,4.1,4.25,4,3.3,3.2,3,2,106臺北市大安區德安里大安路一段223號,American|Burger,1793,25.0346666,121.5461888,2.03,30,unknown,unknown,no,lunch and dinner,cash|mobile payment,Casual Friends Pick,juicy burger patty|large portion|fresh ingredients|family-friendly|friendly service|many menu options|good thin fries|casual dining|burger craving,poor ventilation|oily smell|small space|limited seats|price can feel high|some sides inconsistent|CP value can be controversial,family meal|friends meal|casual lunch|casual dinner|brunch|burger craving,風味起司漢堡|經典樂漢堡|風味起司牛肉漢堡|加州陽光酪梨牛肉漢堡|低脂雞肉漢堡|超邋遢老喬漢堡|搖滾雙醬漢堡|細薯|早午餐,https://maps.app.goo.gl/Eb989BSCicgiBnNT8,"""https://www.google.com/maps/place/%E6%A8%82%E6%BC%A2%E5%A0%A1%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3+%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89%E5%BA%97/@25.0340912",,,,,
r021,Brekkie,Da'an / Xinyi,Brunch,300,600,4.3,28,4.17,4.15,4.3,2.5,4.5,4.5,4,106臺北市大安區住安里四維路112號,Brunch|Cafe|Western,338,25.0322472,121.5479306,1.85,28,yes,partial,no,brunch,cash|mobile payment,Photo-First Cafe,stylish interior|photogenic brunch|customizable brunch|healthy options|comfortable group seating|good sourdough|good roasted vegetables|pet-friendly|WiFi available|power outlets|friendly service|birthday-friendly,"""can be noisy|reservation recommended|parking inconvenient|coffee can be average|some dishes inconsistent|salad freshness issue|two-hour limit when full","""",brunch|date|friends gathering|group brunch|birthday brunch|healthy brunch|work cafe|pet-friendly meal,澳式早餐盤|日式定食|酸種麵包|酪梨|煙燻鮭魚|柚子胡椒雞胸|鹽麴烤雞腿|溫烤蔬菜|法式布里歐吐司|炸玉米脊佐蒔蘿酸奶醬|藜麥烤飯團|澳式小白,https://maps.app.goo.gl/su8jkW4qEdGwC6US7,"""https://www.google.com/maps/place/Brekkie/@25.0320842",,,,
